# Copyright (C) 2023  Intel Corporation. All rights reserved.,,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,,
# and other software and tools, and any partner logic ,,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,,
# refer to the applicable agreement for further details, at,,,,,,,,,,,
# https://fpgasoftware.intel.com/eula.,,,,,,,,,,,,
,,,,,,,,,,,,
# Quartus Prime Version 22.1std.2 Build 922 07/20/2023 SC Lite Edition,,,,,,,,,,,,
# File: G:\My Drive\FPGA\git\RCB_Rev_B\RCB_FPGA_revb.csv,,,,,,,,,,,,
# Generated on: Mon Feb 26 15:57:58 2024,,,,,,,,,,,,
,,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,,
,,,,,,,,,,,,
Node Name,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation,Weak Pull-Up Resistor
RST_WD,Unknown,PIN_B5,,,,,,,,,,
24V_L_EN_A_2,Unknown,PIN_F5,,,,,,,,,,
24V_L_EN_B_2,Unknown,PIN_F4,,,,,,,,,,
24V_R_EN_A_2,Unknown,PIN_C4,,,,,,,,,,
24V_R_EN_B_2,Unknown,PIN_C3,,,,,,,,,,
35V_L_EN_A_2,Unknown,PIN_H5,,,,,,,,,,
35V_L_EN_B_2,Unknown,PIN_G5,,,,,,,,,,
35V_R_EN_A_2,Unknown,PIN_E3,,,,,,,,,,
35V_R_EN_B_2,Unknown,PIN_F2,,,,,,,,,,
BIT_SSR_SW_2,Unknown,PIN_C2,,,,,,,,,,
CLK_100M_2,Unknown,PIN_L3,,,,,,,,,,
CONF_DONE_2,Unknown,PIN_E7,,,,,,,,,,
CONFIG_SEL_2,Unknown,PIN_F8,,,,,,,,,,
CPU_RESETn_2,Unknown,PIN_B10,,,,,,,,,,
CS0_2,Unknown,PIN_A4,,,,,,,,,,
ESTOP_DELAY_3,Unknown,PIN_P11,,,,,,,,,,
ESTOP_OPEN_REQUEST_2,Unknown,PIN_T11,,,,,,,,,,
ESTOP_STATUS_2,Unknown,PIN_M8,,,,,,,,,,
ESTOP_STATUS_FAIL_3,Unknown,PIN_L11,,,,,,,,,,
FAN1_PWM_2,Unknown,PIN_E15,,,,,,,,,,
FAN1_TACHO_BUFF_2,Unknown,PIN_H12,,,,,,,,,,
FAN2_PWM_2,Unknown,PIN_E16,,,,,,,,,,
FAN2_TACHO_BUFF_2,Unknown,PIN_G14,,,,,,,,,,
FLA_PWR_DIS_2,Unknown,PIN_A10,,,,,,,,,,
FPGA_24V_DIS_2,Unknown,PIN_B8,,,,,,,,,,
FPGA_DIAG_ACT_2,Unknown,PIN_K2,,,,,,,,,,
FPGA_ESTOP_REQ_2,Unknown,PIN_L1,,,,,,,,,,
FPGA_FAULT_2,Unknown,PIN_A7,,,,,,,,,,
FPGA_INT_2,Unknown,PIN_A6,,,,,,,,,,
FPGA_L_ROBOT_RX_2,Unknown,PIN_B15,,,,,,,,,,
